author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,geo,retweets,replies,likes,quote_count
1001158893710598144,speedy102501,2737,13179,my name is Speedy I play video games and watching horror films all the time. #UnderWorldsFinest #HorrorFamily,"Mission, TX",Halloween 4 The Return of Michael Myers: Michael kills a mechanic scene 🎃🔪 https://t.co/NBAz1ZXHP3,2021-04-01 23:58:27+00:00,,1,1,28,1
2361161445,cartagenaalexsi,1722,25229,"Gamer. Entrepreneur. Avid lover of Professional Wrestling, Boxing & MMA. Single Father of 2 beautiful little girls, Caydence Chloe & Briella Tegan.",Florida. ,"We’re halfway to Halloween! 

Which means we’re halfway to FINALLY seeing Halloween Kills!! 🎃 🔪 https://t.co/bR18SNqGVA",2021-04-01 23:48:09+00:00,,0,1,1,0
881585137967910916,4TheLinKuei,497,335,"I am no longer Bi-Han!
I am Sub Zero #MortalKombatRP #MVRP
Writer is @Terry_Cosplays",Outworld,@jason_blum Nobody cares about Halloween Kills. We want FNAF!,2021-04-01 23:26:48+00:00,,0,0,0,0
1219046493195309056,tribbleboi,42,699,Bruh,,@jason_blum If you give an update to halloween kills or fnaf or both you definitely will,2021-04-01 23:13:09+00:00,,0,0,0,0
1543731374,BeyondFest,9743,11654,The best cinema for the best city in the world.,"Aero, LF3, Hollywood Legion","If @jason_blum gets 9K more followers, we get HALLOWEEN KILLS. People's Republic, do your thing. https://t.co/9hIiUf2rGn",2021-04-01 23:07:39+00:00,,3,2,20,1
1209191430436130816,MichaelMyers3_1,554,3304,"I’m known as The Shape, The Boogeyman, The Evil, but I prefer Michael Myers. @DeborahMyersH07’s Son @JudithMyers07’s Little Brother. #HalloweenVerse","Haddonfield, IlIinois",@MaleficentOuat1 @Chucky75175788 @JohnTateH20 Just wait and see in Halloween Kills and Halloween Ends.,2021-04-01 23:06:15+00:00,,0,1,1,1
1356335243905671168,MultiverseGeeks,24,556,"COMING SOON: Reviews, Reactions, Film News, Film Pitches & More!!",,@3CFilmReview @jason_blum I vote Halloween Kills!,2021-04-01 22:53:36+00:00,,0,0,5,0
49763705,kenbruno,1692,14081,"@DellTech primary storage and HCI PR! Opinions here are my own, not that of my employer.","Hoboken, NJ",@jason_blum Can we get a Halloween Kills trailer if you hit 100K?,2021-04-01 22:50:10+00:00,,0,1,20,0
722493514391560192,3CFilm,19760,6685,Spread Positivity & Celebrate Movies🎥 Full Time Youtuber📺 & Funko Pop Addict💊 Latino🇲🇽,"Dallas, TX","@jason_blum We need motive!
FNAF Update
First Look at M3GAN Doll
Or Halloween Kills tidbit
Your options bestie",2021-04-01 22:49:43+00:00,,5,5,121,0
1730243148,TheJamieDuggins,68,1310,🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃🎃 🎃HALLOWEEN 🔪🎃KILLS 10/15/21🎃🎃🎃🎃,"North Carolina, USA",@jason_blum Can’t wait to see Halloween Kills this year. What do you plan on watch if you do go to a movie theater?,2021-04-01 22:48:14+00:00,,0,1,3,0
1159572324854771712,FandomEmpireNow,630,2151,"Fandom Empire is a YouTube channel that covers all things fandom such as Halloween, Horror, Movies, TV, Marvel, DC, Star Wars, GoT, Supernatural & more.",Canada,"Join us tonight as we welcome @Drumdums to Fandom Empire Live! we dive into the history of his YouTube channel, the future of horror, his take on GodZilla vs Kong. and of course.... Halloween Kills and Ends! 

#HalloweenKills #GodzillaVsKong 

https://t.co/dX4tV6StpX https://t.co/xDccSpJ4CY",2021-04-01 22:47:23+00:00,,4,3,17,0
800388676790329345,DukeLawndale,608,10293,#OurLoveForHorror🔪#OurLoveForDaBears🐻 #DiscoMusicFridays🕺,"Haddonfield, IL",196 DAYS UNTIL HALLOWEEN KILLS! #HalloweenKills #Svengoolie #TerrorInTheAisles #MichaelMyers #ThirstyThursday  #MacabreTheatre #TheLastDriveIn #HorrorFamily #MutantFam #HalloweenDaily #Halloween🎃#HalloweenMovies #OurLoveForHorror🔪#HorrorFam #Horror https://t.co/NtI624e5Fs,2021-04-01 21:36:37+00:00,,1,0,1,0
26217109,Ahlephia,10056,97211,Horror fanatic. Creator of intricate worlds. Erotic & Horror Writer. Filmmaker. Producer. A beautiful nightmare. 🚫 No DMs,"Gold Coast, Queensland","@Mr_UNSTABLE Spiral intrigues me and I'm a Michael Myers girl so Halloween Kills is always going to be my go-to film this year.

I cannot wait for Candyman. My mother actually requested I take her to see that at the cinema.",2021-04-01 20:38:41+00:00,,0,1,1,0
122812786,Mr_UNSTABLE,554,21989,"#UNSTABLE #SicHop #MisanthropeMusick 
#MrUNSTABLE #Rap #Punk #Metal

Horror, Comedy, Music, Video Games, Comic Books.
LEO
He/Him
Halloween 🎃
DDlg
Mr./Sir/Daddy","Wilmington, Ohio","@Ahlephia I'm most excited for Till Death, Candyman, A Quiet Place 2, Morbius, and The Conjuring: The Devil Made Me Do It, but I'm also looking forward to Don't Breathe 2 &amp; Scream 5. I am cautiously optimistic about Spiral,  Halloween Kills, &amp; Resident Evil: Welcome to Raccoon City.",2021-04-01 20:36:53+00:00,,0,1,1,0
173958312,DoctorWolfula,7105,9783,"Greetings! I’m your Host, Dr. Wolfula, a Silver Bolo-winning maker of horror vids on YouTube. 115,000+ subs strong! PFP by @alexmcvey | Banner by CFouldsArt",The Wolfulair,Breaking news! Ben Tramer has just been announced to appear in Halloween Kills with this teaser image from his first scene in the film! I’m looking forward to seeing what happens next on the big screen! https://t.co/XG7liLBSlL,2021-04-01 20:33:41+00:00,,23,9,153,2
2275785308,afterglowbliss,256,8346,swifties grab back 🎃 fellatio enthusiast,,"Conjuring 3 in the summer, Candyman remake, Chucky tv series, Halloween Kills, Scream 5 next year, I’m eating good.",2021-04-01 20:11:50+00:00,,0,0,0,0
32742643,christianizcool,1611,26802,Listen to the @society_show,"Seattle, WA",Halloween (2018) did a similar thing. Thankfully Michael Myers kills them though https://t.co/ycfADFlzM3,2021-04-01 18:26:30+00:00,,0,0,1,0
1170875694,flyflashy54,264,5737,,,"HALLOWEEN KILLS OFFICIAL TRAILER REACTION....                           ... https://t.co/23ylaVbBgX via @YouTube
#Halloween2020
#Halloween 
#HalloweenKills 
#RestoretheMyersVerse",2021-04-01 17:54:12+00:00,,0,0,0,0
