author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,geo,retweets,replies,likes,quote_count
800388676790329345,DukeLawndale,608,10293,#OurLoveForHorror🔪#OurLoveForDaBears🐻 #DiscoMusicFridays🕺,"Haddonfield, IL",257 DAYS UNTIL HALLOWEEN KILLS! #HalloweenKills #HorrorCommunity #Svengoolie #MichaelMyers #Splatterday #HorrorFamily #MacabreTheatre #MutantFam #HalloweenDaily #Halloween🎃 #OurLoveForHorror🔪#HorrorFam #Horror https://t.co/VXmvgqDrVP,2021-01-30 23:13:18+00:00,,1,0,5,0
73205411,GHRharos,35,127,I review movies and talk about other film related topics! YouTube Channel: The Movie Canon. I am a MOVIE buff... a writer and filmmaker at heart!,Southern California,"Brief Movie Talk on HALLOWEEN KILLS Tonight @ 6pm. You can view it by clicking the link below. Subscribe! 

https://t.co/FzIUxGJ2M5

#halloweenkills #halloween2021 #michaelmyers #themoviecanon https://t.co/2ZDO2p58wJ",2021-01-30 22:41:57+00:00,,0,0,0,0
590335655,lower_ryan,344,10387,"lover of Mera, host of @thebatmanbc, contributor to Batman-on-film, fan of the Wolverines. I also have an awesome cat","Chicago, IL","@ThisIsTimRooney Hahaha We had many Halloween marathons growing up and always had fun here with the kills. It’s not good, definitely",2021-01-30 22:05:27+00:00,,0,0,1,0
109148054,jamie2bad2000,1937,23628,"A massive Prince, Star Trek, Star Wars, Jaws fan fae Scotland. Always Be Kind to everyone you meet. Remember an insult can last a lifetime 🖖🌈💜",,@josephinenext The greatest horror ever. I can’t wait for Halloween Kills this year,2021-01-30 21:24:03+00:00,,0,0,0,0
909405438,Kristy_Proxy,507,18062,"writer, photographer, reader, spiritual student, and lover of nature and music",indiana,"HALLOWEEN KILLS Trailer #3 (2021) Michael Myers | Jamie Lee Curtis Horro... https://t.co/i1q6OObtFG via @YouTube 

MY GEEK IS IN LOVE!!!!!",2021-01-30 18:45:44+00:00,,2,0,2,0
287805548,CellPortraits,196,4017,Laurea e Specializzazione Storia dell'Arte Giornalista Cinema Direttore Responsabile di http://t.co/AvoDipeQBZ,Tirrenia (PISA) ITALIA,#NewEntry #Schedafilm #HalloweenKills di #DavidGordonGreen con #JamieLeeCurtis &amp; Co. Film: Halloween Kills (https://t.co/X4yQp61z9W) https://t.co/eJIyUXSVgd,2021-01-30 18:01:32+00:00,,0,0,1,0
1325913379656052736,cutetofufrog,207,11848,My costume is invisible.  Sweet omelet by @otamajackson56 Silken tofu by @getegete0106,,@DoctorWolfula tf when you realize Halloween Kills prob won't come out this year either,2021-01-30 17:49:24+00:00,,0,0,0,0
1296166961567731712,Struggler2Dark,1821,57205,"He/Him

Paraguayan

Bi 🏳️‍🌈

#blacklivesmatter 

Expects lots of retweets with comments",,"If there's a scene I'm hyped the most to watch from Halloween Kills, is the 1978 flashback. 

I've heard from rumors that they even recreated the blue lightning from the original 1978 film and it feels straight out of if. https://t.co/cdZdCUFkvn",2021-01-30 15:57:15+00:00,,0,0,2,0
604648337,SLayton82,670,27614,"Horror / Sci-Fi / Punk Rock / Sports / Comics / Boardgames / Videogames 

💀👽🤘⚾️🏒🏈🥊🦸‍♂️🎲🎮","Massachusetts, USA","@SlasherTrash @Theoddprophet @Floor_Is_Bava @songsforlife24 Yeah, I love Halloween (Black Christmas less so), it holds its own with me against more mayhem fueled films. I love me some gory kills though, as do I assume we all do.",2021-01-30 14:21:33+00:00,,0,1,1,0
36514727,SlasherTrash,13993,152574,"Executive Producer on @13_fanboy (2021), @OnLocationMovie (2021), @TimesUpMovie (2021) | Passion for slashin' | Prince of procrastination | Pop culture punk","Hereford, UK","@SLayton82 @Theoddprophet @Floor_Is_Bava @songsforlife24 Oh 100%. Sorry, I should have said ""if you ONLY dig gory kills"". 

I love my fair share of carnage but Halloween and Black Christmas are my boys.",2021-01-30 14:08:32+00:00,,0,1,1,0
