author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,geo,retweets,replies,likes,quote_count
1312871672270135296,PressZoran,23,815,"Zoran Press is an LA-based media publishing company dedicated to advancing thought, exploring all things compelling, and entertaining the public. https://t.co/H1L7DJ3tpp",,Widely considered the scariest #horrorfilm of all time-The Exorcist (1973)-is getting new sequels. Director David Gordon Green (Halloween Kills) is developing. Ellen Burstyn to reprise her role as Chris MacNeil-mother of Regan MacNeil (Linda Blair) https://t.co/SDsMCOrxJq #Movies https://t.co/LDGyudBxFi,2021-08-01 23:27:29+00:00,,0,0,1,0
1330269459613962240,IMTHEREALBIGDO1,50,563,,,@MadisonSpring1 Ohh yeah and after Halloween Kills I’m taking my girlfriend out to eat,2021-08-01 23:25:50+00:00,,0,1,0,0
884226406674255875,ineedyoujesse,511,5671,"https://t.co/o6XMIW1A1F is the place for homos who love horror. I also co-host on @killthedeadpodcast. Follow us on ITunes, Stitcher, or Spotify. 🏳️‍🌈he/him",Southern Cali,I wonder if the Scream trailer is going to be attached to Candyman or Halloween Kills? https://t.co/LO3OKzzdea,2021-08-01 23:15:14+00:00,,0,3,10,0
1330269459613962240,IMTHEREALBIGDO1,50,563,,,@MadisonSpring1 Ohhh yeah and I’m taking my girlfriend to see Halloween Kills on October 15th,2021-08-01 23:04:26+00:00,,0,1,0,0
33081481,iStayJayed,528,106015,I.XVII.XIII |Criminal Justice Grad| Goat🐐|,Htx✈️,Michael Myers just up and driving on the first Halloween kills me every time,2021-08-01 22:42:24+00:00,,1,0,0,0
2466793324,cuddlemybitch,167,10587,,,Excited for scream 5 and Halloween kills &lt;3333333333333333,2021-08-01 22:28:57+00:00,,0,0,2,0
85471336,MrParr09,10,81,,"Candler, NC",@_BritSmash are you ready for HALLOWEEN KILLS??!!,2021-08-01 22:27:30+00:00,,0,0,0,0
3245196191,SpillmanThom,2571,20545,"News, book, TV, and film junky. Mostly an ok guy, sometimes a bit snarky.",,@jaigreen9628 Watch Halloween 2018 - Halloween Kills is only 75 days away,2021-08-01 21:43:06+00:00,,0,1,1,0
1408209721383862276,TheHorrorHourTV,638,904,"A podcast dedicated to all things Horror! 🖤🎃 Hosted by: Ben, George & Yutaka",,@GhostMyers1996 @ScreamMovies Maybe they could give us a still or something from the movie for Wes! I agree Though October they will debut full trailer to play in front of Halloween Kills,2021-08-01 21:38:19+00:00,,0,1,3,0
954143822,SperaticGaming,79,3554,All the things I love 😁😁 no ragrets!,California,"@RoylandOdell @TommyDoyle47 That's going to be really cool about Halloween Kills, it's in the same night as Halloween 2018 😎😎",2021-08-01 21:36:06+00:00,,0,0,0,0
344187111,AnthonyShannon2,320,72197,Hi! Life is what you make it. Exhale bullsh*t. May not be special but I’m definitely limited edition. Sucker for all things Janet Devlin https://t.co/btqEWbyzsV,"Roscommon, Ireland","From Stronger with Jake Gyllenhaal &amp; Tatiana Maslany, Pineapple Express with @Sethrogen &amp; Your Highness enjoy the movies of director David Gordon Green. After the thrilling Halloween 2018 can't wait for sequels Kills &amp; Ends, then roll on whatever he does next...",2021-08-01 21:35:30+00:00,,0,0,0,0
480188408,r3alyoungstarr,9488,40708,"Information Technology 
#BompTIA
#JustSomeFanLuvAintNoBloutInDhat","Greenville, SC",Can't Wait Til Halloween Kills Come Out 😈,2021-08-01 21:31:38+00:00,,0,0,0,0
957780501804277760,JacksackPhD,875,118805,"Yeehaw Brother

(He/Him)/21","Des Moines, IA",Gonna make a re cut of the Halloween kills trailer but instead of the Halloween theme I will put a slow version of return of the Mack over it.,2021-08-01 20:37:49+00:00,,0,0,4,0
1306794613479321605,KowalskiOA5599,1363,5187,"Part time writer, full time horror. Gasoline and dust. “Roads” Scholar.",The Golden West,"@HmJileswrites None yet, but I am sneaking a bottle of champagne with glasses into Halloween Kills, I’m really looking forward to it.",2021-08-01 20:05:47+00:00,,0,1,1,0
913571016982564864,LFilerman,67,4800,I'm new here.,NYC,@TommyDoyle47 Incredible atmosphere in Halloween II with some nasty kills to keep up with other early 80s slashers. The synth score is actually better than the original’s IMO. I just wish Laurie had a bit more to do in it. Bonus points for Budd: https://t.co/364c8BJwGh,2021-08-01 19:29:33+00:00,,0,0,12,0
1257689357445672961,v_rqx1,222,4470,Film Addict.,Midgard,@MadRollins لا تنسى Halloween kills و The Many Saints of Newark,2021-08-01 19:27:55+00:00,,0,0,1,0
723162444,_Skeeze,1922,118204,They put blackface on everything but Jesus,,"@asherdgreat @kaythestallion I feel like the OG relied too much on gore and kills . 

When you actually think about it the movie should’ve been like 30 minutes . 

How do you try to copy Halloween but miss the most important things that made it so great. suspense and simplicity",2021-08-01 19:09:09+00:00,,0,0,1,0
1694287261,SKINSGaming,1786,39328,#gaming #music #horror #anime #DragonBall #SAO Sinon💙 #Spiderman #Batman #SpideySquad #PSN: SKINSGaming #Youtube: SKINSGaming #Instagram: skins_daily_pics,,Yes such a good movie I'm hyped for the new Halloween Kills https://t.co/PFFYKklKmQ,2021-08-01 18:59:19+00:00,,0,0,4,0
1969417339,dailynewsen,12423,11018,,,"#ENTERTAINMENT Trailer for 'Halloween Kills: Oh my goodness, he's back!: Michael Myers: The essence of evil. This is not the hottest perfume of the season. Laurie Strode makes the chilling statement in the trailer for Halloween Kills. https://t.co/H1tIpCpWwv",2021-08-01 18:44:33+00:00,,0,0,0,0
799794084219068416,knows_kai,336,19218,"Hidden Village\Slaughter Camp 🏕she want to make me dinner, I told her make me rich. #lonewolf Instagram: @slaughter_camp_kai","Houston, TX",I’m excited for Halloween Kills🔪🩸,2021-08-01 18:37:08+00:00,,1,0,1,0
1014883171593326593,belriddle,151,6647,shipping the impossible since 1990. queer y feminista.,on a bench in coney island,Halloween kills I'm looking at you https://t.co/cK4LUQsGtm,2021-08-01 18:19:51+00:00,,0,0,0,0
2352428634,SarcasticRobin,215,14757,"Black and Asian Lives Will Always Matter|| 

I make Videos Apparently

Toku, movies, music, comics, and books.

Co-runs @Whywelovetoku

he/him they/them",Videos Wednesday 12 PM EST,"I don't think I'll be watching another movie in a theater in a long while, at least until maybe Halloween kills, sorry Candyman shang chi and whatever else",2021-08-01 18:03:46+00:00,,0,0,0,0
419627609,GodOfGore13,2292,14590,lover of all things horror. Horror poster collector. #RavensFlock Creator of #31DaysOfTheShape 🔪🎃,Haddonfield ,I really hope Halloween Kills focuses more on Michael rather than the Strode family.,2021-08-01 18:03:06+00:00,,8,5,112,3
1333781020370415616,michael_bolcato,1161,3441,"Loves movies. 16 years old. Horror Fan. Marvel and DC Fan. Loves to talk about movies (especially sci-fi, Marvel, DC and horror stuff).",,@CriticalOverlo3 Isn’t Halloween Kills is supposed to be the last Universal movie that is supposed go to HBO since that contract expires next year.,2021-08-01 17:53:38+00:00,,0,1,1,0
1030562655440986113,CriticalOverlo3,2090,11212,"Horror fanatic🔥, Movie critic 🎬, Elm Street, Woodsboro, Promotional page for my YouTube channel 
https://t.co/uZOehWBaAP",,"Halloween Kills score has been leaked....how many other things will leak before the release? Also, will Michael Myers head to Netflix two weeks after the October 15th release date? #HalloweenKills https://t.co/cMWhg4dq9L https://t.co/da28GRKVve",2021-08-01 17:52:29+00:00,,2,3,29,0
377436843,GLo1Up,6680,26942,“Fuego” VIDEO OUT NOW!! https://t.co/cV1Tez8pzM #CAMPshit™ #BluMouth® IG G_smoke100 ☁️🏄🏾,"On a Cloud, (Toledo)OHIO ☁️☁️",Halloween kills Trailer Reaction 🔪🎃 https://t.co/ZM34MRTNzu via @YouTube,2021-08-01 17:38:55+00:00,,0,0,0,0
174376413,mohawksandwich,21,62,The heart and no-soul of the soulless @mokueststudios. Without me they would probably still be doing it. Non-essential and vestigial. Pseudo-malignant.,Bumblhellmiddleofnowheresville,CKV Halloween Kills Trailer Reaction https://t.co/df30FDlMMg via @YouTube,2021-08-01 17:36:12+00:00,,0,0,0,0
1289066032070561793,TotallyClowning,1142,41730,"Leave your hate somewhere else ♡

Positivity over toxicity ♡

FKA Chris Vega from CHW Backyard

🤡 Sub to Totally Innocent Clown @ YouTube",Silent Hill,Imagine if Michael Myers dabs in Halloween Kills,2021-08-01 17:34:53+00:00,,0,1,5,0
1380244807101075467,DeadBiDaylight,509,3135,"'You're wrong, Salim is one of us now. Marines don't leave their own behind'",In an alien city,@ddeadbutterfly I remember you saying your birthday was soon after Halloween kills release date,2021-08-01 17:31:08+00:00,,0,0,0,0
1387830760472727553,DeanSmi92745903,43,245,Fan page/Halloween kills poster and Eddie Diaz/Ryan Guzman fan and sending the official Halloween kills soundtrack to only followers.,"Orillia, Ontario","@Face420Ghost @halloweenmovie Sorry I can’t send you the link, it’s the leaked Halloween kills soundtrack and I don’t want it to get out there until it’s released.",2021-08-01 17:26:54+00:00,,0,1,0,0
800388676790329345,DukeLawndale,608,10296,#OurLoveForHorror🔪#OurLoveForDaBears🐻 #DiscoMusicFridays🕺,"Haddonfield, IL",74 DAYS UNTIL HALLOWEEN KILLS! #HalloweenKills #Svengoolie #MichaelMyers #SlasherSunday #MacabreTheatre #HorrorMovies #TheLastDriveIn #HorrorFamily #MutantFam #HalloweenDaily #Halloween🎃 #OurLoveForHorror🔪#HorrorFam #Horror @jamieleecurtis @jamesjcourtney @TheHorrorMaster https://t.co/sC1WzI4WQL,2021-08-01 17:05:10+00:00,,0,0,2,1
1222734409914363904,AnarKerry,158,13402,They'll never let a rat into the Mickey Mouse Club,Planet Piss,"@tableninemutant Great thread!

I've seen quite a few films for the first time this year.

I guess my top five of 2021 (so far) would be.
1) Jakob's Wife
2) Psycho Ape
3) Psycho Goreman
4) Nobody
5) Spiral

But we still have Halloween Kills, Candyman, Ghostbusters  and Don't Breathe 2 on the way.",2021-08-01 17:01:36+00:00,,0,1,1,0
