author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,geo,retweets,replies,likes,quote_count
839129145732890624,OnlineWarriors1,2440,6480,"We are the Online Warriors, a podcast where we discuss the latest in gaming, movies, entertainment, & sports. Hosts: @OWNerdbomber, @OWTechtic, & @OWIlleagle86.",United States,"New episode #innerdcircle! This week we discuss:

- A #FieldofDreams show coming to Peacock
- #YikYak is coming back!
- The ID@Xbox Indie Showcase
- #Greenlights, #Hades, and more!

Promo from @MARVELMadames!

Listen now on all podcast services or https://t.co/M8OHNpq5RR! https://t.co/KdK89ydLdP",2021-08-18 12:00:50+00:00,,2,1,5,0
1405487939866464256,WWEAEWSpideyFan,88,8081,"This is Trev, I'm currently an AEW and WWE fan I make factual statements that piss people off, Marvel fan mostly Spider-Man. also I love my Olsen Twins.",,"@wrestlinginsig Good night, I got peacock to watch SummerSlam on my Xbox to chat with you guys on the discord server so I won't go back and forth lol",2021-08-20 01:57:25+00:00,,0,0,0,0
1247582226457427971,PeacockTVCare,4200,30956,“Tweet Tweet Tweet” goes the Peacock flock. We’re ready to help all of our @peacockTV members. The team is available 9am-1am ET every day.,,@VikingSully Hi Alex! Thanks for reaching out! We'd love to help and look into this further for you. Please send us a direct message providing your email address and the Xbox model you are streaming with Peacock or connect with a live agent on our website (https://t.co/c88Vk0DAlL).,2021-08-21 23:46:28+00:00,,0,0,0,0
2941255887,collazo_nick,1592,6192,My name is nick I’m a true wwe fan I love to play video games I like to watch the wwe and I love my family my cousins my step sisters my friends,,Here we go with the (2021) #WWESummerslam kickoff show on peacock on my Xbox one s,2021-08-21 23:00:03+00:00,,1,0,1,0
1247582226457427971,PeacockTVCare,4200,30956,“Tweet Tweet Tweet” goes the Peacock flock. We’re ready to help all of our @peacockTV members. The team is available 9am-1am ET every day.,,"@VikingSully Hi, Alex! Player controls are now available on our supported Xbox devices. We encourage you to ensure your Xbox system and Peacock application are using the most recent update. We hope this information is helpful. Feel free to DM us with any other questions or concerns!",2021-08-21 18:08:08+00:00,,0,1,0,0
2941255887,collazo_nick,1592,6192,My name is nick I’m a true wwe fan I love to play video games I like to watch the wwe and I love my family my cousins my step sisters my friends,,Here we go with the 2021 #NXTTakeOver36 kickoff show on peacock on my Xbox one s,2021-08-22 23:28:33+00:00,,0,0,1,0
321713230,JoeFromThePub,228,8658,"Ginger. Indoorsman. I enjoy short walks on the beach, bad movies and old video games.","Cottage Grove, MN",@RobTheIc0n I just use Peacock on Xbox and the stream is great but it doesn't allow you to start from the beginning and only rewinds 30 minutes.,2021-08-22 02:32:05+00:00,,0,1,0,0
3038998982,SoccerSteve_,1175,41823,Englishman In Sydney 🇦🇺 Since 2014 | Football Tragic | Girls U16s ‘Soccer’ Coach | Leeds United Fan | Disneylander,ʎǝupʎs ɐılɐɹʇsnɐ,@PeacockTVCare @NicksSports23 It’s not a peacock issue it’s Xbox I believe,2021-08-22 00:29:59+00:00,{'place_id': '0073b76548e5984f'},0,0,0,0
2941255887,collazo_nick,1592,6192,My name is nick I’m a true wwe fan I love to play video games I like to watch the wwe and I love my family my cousins my step sisters my friends,,Here we go with the (2021) WWE summerslam ppv on peacock on my Xbox one s,2021-08-22 00:01:08+00:00,,0,0,2,0
113046954,KurrOne18,1297,64428,"Symbolisms mean nothing.
Faith without action is nothing.","Massachusetts, USA",I've had no problems with HBO Max use it on Xbox (best console) Peacock is terrible. https://t.co/Lcj8rASynJ,2021-08-23 17:00:44+00:00,,1,0,1,0
93935912,DipswitchDan,2747,50098,"Professional Illustrator, Author, IT Professional, and Commander of the Retrostation1989
https://t.co/a34Jq3a0aR","Milton, Wisconsin","Hey @GameSack -- okay this is a weird question, but I figure you could make an episode about it - why does the XBOX Series S do streaming at a higher quality than the PS4 overall.
Specifically Peacock. 
Is it an app issue or platform issue?",2021-08-23 04:11:59+00:00,,0,1,0,0
2941255887,collazo_nick,1592,6192,My name is nick I’m a true wwe fan I love to play video games I like to watch the wwe and I love my family my cousins my step sisters my friends,,Here we go with the 2021 #NXTTakeOver36 event on peacock on my Xbox one s,2021-08-23 00:01:39+00:00,,0,0,0,0
35275337,maskdmirag,406,2697,discord maskdmirag#8392,,"@BriantheTaxMan @IanSplis @BillSimmons yeah, but their streaming service is the fanatics of streaming services. I mean maybe peacock is worse? I thought that was the comparison being made. I forgot people buy streaming sticks, I just use xbox.",2021-08-24 01:12:46+00:00,,0,1,0,0
490992674,jimmmyfinlay,196,12616,Villain since a itsy bitsy zygote,"New Jersey, USA",Man the peacock app on Xbox never feels like working,2021-08-27 15:54:26+00:00,,0,0,0,0
227887740,arod0034,2192,297883,HEAT nation RAIDERS nation YANKEES nation Sierra. Hotel. India. Echo. Lima. Delta. #BELIEVE! #TGOD #WWERAW #WWENXT #SmackDown #CardSubjectToChange,Firefly Fun House,"@view_raw Peacock app works great on the Apple TV and Xbox, sucks real bad on the ps4 tho.",2021-08-28 21:39:11+00:00,,0,0,1,0
322344572,GRANDDADWHATTHE,1777,301370,They/them. Robot Jones fanboy. Homestar Runner fanboy. Reboots are cool. ThunderCats Roar is amazing. WWE/NXT Superstar. #QuitDyingOnUnnecessaryHills,Bumm-ra's Tomb,can Peacock update their Xbox One app to be even remotely navigable,2021-08-28 15:01:28+00:00,,0,0,0,0
212347943,ZachCav,1099,13990,"Sports Editor 📰 @SouthOCSports, @SCTimesNews, @DanaPointTimes, @CapoDispatch. Co-host 🎙 @BasicallySports. Puckhead 🦆 Scruffy Nerfherder 💫","Irvine, CA","Again, why aren’t ALL Premier League games available on Peacock?

Additionally, why can I only watch Premier League through the NBC Sports app on my Roku TV, but not through the same app on my Samsung TV or my XBox?

Why does NBC make this so hard on their consumers? #MyPLMorning",2021-08-29 15:33:42+00:00,,0,0,2,0
