author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1243929924685172738,AdorkableMel,6,86,"Middle aged Mayhem, Swim/Run, Cook/Bake","St Petersburg, FL",Dear @NBC @peacock why are you not livestreaming? The very first marathon swim is taking place and I cannot find it anywhere. Your swim event coverage sucks. #worstbroadacast #NBC #PeacockTV #streaming #Tokyo2020 #openwaterswimming,2021-08-03 22:27:16+00:00,0,1,0,0
394501653,lylldy,4104,23051,https://t.co/VWLxoP0Dxh Mom #BLM Empath Nasty #CPP #NEVERaddict 🚫QoL  #PAINgry 🌎All Fauna/Flora🐝🦋🐕🐱🐴🐬🌳🌹 Amiga 🎶💃🤣#WaterIsLife #ERA 🖤💛,"A Hill in The Schuylk, PA USA",@nbcdays No tv since 7/19. Caught up w/ DoOL via @Peacock app last night. Tysvm! My earliest (b &amp; w tv) memory of Days is of teen Julie (SSH) w/ long dark hair in a white dress on a swing in Grandma &amp; Grandpa Hortons' backyard.😎,2021-08-03 16:51:01+00:00,0,0,0,0
1291557802369048581,cristinellashow,429,33992,"Hey It’s A Show is a BRIDGE THEATER Original using satire, parody, commedia & your tweets. This is a work of fiction. No © infringement intended.","Ambridge, PA",Will someone please tell me how to stream @peacock so I can enjoy @SnoopDogg narrating the Olympics? Thank you in advance.,2021-08-03 14:12:38+00:00,0,1,0,0
15326011,GFleming,174,90172,"Married to Lori, Father of 2, Angels Baseball, and Monopoly King","Orange County, CA.","usatf: World record holder / defending 🥇+ world champion / defending 🥈 + @NCAATrackField Indoor champion = The #TeamUSATF Men's Shot Put squad. Qualifying starts now! 

🇺🇸 @RCrouserThrows 
🇺🇸 @JoeKovacsUSA 
🇺🇸 @paytonotterdahl 

Watch live / @peacock… https://t.co/dCaj1Ypo2D",2021-08-03 10:32:05+00:00,0,0,0,0
895992086666915840,Super6Rugby,5714,2403,"The official Twitter of Scottish Rugby’s FOSROC Super6 competition. Exclusive in-game clips, highlights, tournament and team news.","Scotland, United Kingdom","@RFTalk @tubaguy08 @SuperRugby @USARugby @prsevens @WorldRugby7s @AmericaRugbyPod @peacock If you're outside of the UK &amp; Ireland, we have two games a weekend available to watch live on our website!  Check out https://t.co/c3garutcTn on Friday evening (@WATSONIANFC v @StirlingCounty) &amp; Sunday afternoon (@HeriotsRugby v @Sthrn_Knights ) BST.",2021-08-03 08:11:23+00:00,5,0,5,0
1220929133154308098,sickofgovlies,23,3911,,,@peacock can you make it so it saves where you are at in the series your watching?,2021-08-03 04:34:52+00:00,0,0,0,0
146732318,HotelGuySA,1390,13500,"Hotel/F&B Hero.
CA ➡️ OR ➡️ CA ➡️ TX 
Giants/Niners/Warriors fan -  Street cred level above 9000. #TheResistance #LaMisión #SFOG $ETH $LINK $QNT",Deep in the Heart of Texas ,@orionsarmy @YahooSports @NBCOlympics @peacockTV @peacock Thank you... and they give you an announcer who has no idea who @luka7doncic is.,2021-08-03 03:06:20+00:00,0,0,1,0
41061716,orionsarmy,390,12485,1.618 Follow the Light. The light is your guide. NBA opinionist. Fractal fan. Mandelbrot set 💎TheDonKilluminati🤴🏽,In Opposition of Saturn,@HotelGuySA @YahooSports @NBCOlympics @peacockTV @peacock NBC sports app. (Really) then go to live sports then scroll down until basketball. After you put in your subscriber info (DirecTV or what have you) - it’s bullshit you have to do all that to watch Luka play basketball in the Olympics.,2021-08-03 03:01:28+00:00,0,1,0,0
146732318,HotelGuySA,1390,13500,"Hotel/F&B Hero.
CA ➡️ OR ➡️ CA ➡️ TX 
Giants/Niners/Warriors fan -  Street cred level above 9000. #TheResistance #LaMisión #SFOG $ETH $LINK $QNT",Deep in the Heart of Texas ,@orionsarmy @YahooSports @NBCOlympics I looked for it on @peacockTV it's not on there. Is it on @Peacock+?,2021-08-03 02:56:48+00:00,0,1,0,0
1361868286544216064,CracasCade,10,210,Covering NBA/NFL News 24/7 | Host of The Triad | Future Sports Reporter,,@Peacock and #MagicJohnson have reportedly been working on a deal to create a docuseries about Magic Johnson’s life and career. The deal is reportedly close to $25 million.,2021-08-03 01:24:34+00:00,0,0,1,0
