author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1368032907554660355,badassjonathan1,58,1561,Just a fan of Jonathan Tuckers amazing work.Follow me on ig @badassjonathantucker fan page on fb https://t.co/tuKYofuXJs JT follow3/21,"Louisiana, USA","What to expect from Debris episde https://t.co/XGAelh9f7z more day,Monday night a all new episode on @nbc ⁦@jonathanmtucker⁩ #riannsteele Streaming next day on @peacock and @hulu.So no excuse to watch. https://t.co/dZkcHnJ48D",2021-04-04 17:19:40+00:00,0,0,6,0
1161029070,MattySilverman,30,306,I am not the person you put on speaker phone.,"New York, USA",@chrislhayes @peacock is no better,2021-04-04 16:28:36+00:00,0,0,0,0
1329629195992002565,1LostSnowman,4,164,,,@WWENetwork Lets hope @peacock doesnt censor this for being bunny phobic!!!,2021-04-04 15:06:30+00:00,0,1,0,0
1319745644433723394,TheUrbaneCowboy,71,7110,he got a bicycle.,"Chicago, IL","I don’t like that @peacock is going out of their way to promote a man who murdered his wife and child, when WWE worked so diligently to not draw attention. You guys got a new murder documentary going on?",2021-04-04 09:47:57+00:00,0,0,0,0
42987905,TnsBAW,443,70572,Soap Junkie. WTA Fan.,PA,"Wait, @Peacock doesn’t divide the WWE episodes into clickable segments/matches, there goes future marathons…",2021-04-04 00:56:16+00:00,0,0,0,0
1251946825071972365,MorkieMark07,29,3470,,"Greensboro, NC",@TripleH Sell the video archives to someone that will respect it . @peacock sucks and can keep the newer stuff .,2021-04-05 23:44:07+00:00,0,0,0,0
1342618481196376064,Xdizzle69,24,568,,,@WWE @WWENetwork @peacockTV @peacock is trash. I’ll just free stream mania,2021-04-05 23:37:54+00:00,0,0,0,0
815631708,wheelieman01,71,11804,Braves fan.animal lover,USA,@WWE @WWENetwork @peacockTV when will @peacock stop destroying history?,2021-04-05 23:23:23+00:00,0,0,2,0
55123031,thejeremysmith,50,1017,"Dad and geek pretty much summarize things. Wrestling, comics, video games, and pop culture seem to cover both designations.","Kentucky, USA","Thought people were exaggerating how bad @WWENetwork is on @Peacock, but they definitely aren’t.  And I actually like Peacock in general.  I can’t find anything via search or the organization is a mess.  Also not a fan of live PPVs not having rewind, pause, or fast forward",2021-04-05 22:42:48+00:00,0,0,1,0
2976926531,HaloCustomMaps,115,1922,,,"@witchernetflix @Netflix Sad when a show has to celebrate 2 Seasons like it is a victory. Doesn't that wake you up to how crappy you are about cancelling. @Netflix doesn't last. No 8 Rounders on this Streaming Service. 
@PrimeVideo @Peacock @hulu @youtube #stopcancelculture to beat Netflix.",2021-04-05 22:10:46+00:00,0,0,0,0
